Technology,Tecnology or non Technolgy ,Predicted_label
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
telecommunication links,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
linear matrix inequalities,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
mobile antennas,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
quantization,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
mimo-ofdma,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
gain control,,not_technology
uplink,,not_technology
uplink,,not_technology
